Network,id,ocpi_id,Name,Address,State,Latitude,Longitude,POI,Utility,kilowatts_,kilowatts1,F__station,F__DCFCs,F__CCS,F__CHAdeMO,NAME_1,NAMELSAD
Non-networked,115903,,Haiku Elementary School,"105 Pauwela Rd, Haiku, HI 96708",HI,20.929649,-156.321339,School/University,,50,50,2,2,0,2,"Kahului-Wailuku-Lahaina, HI","Kahului-Wailuku-Lahaina, HI Metro Area"
Non-networked,117069,,Packsize LLC,"3760 Commons Ln, Salt Lake City, UT 84104",UT,40.742377,-111.981595,Workplace Private,,50,50,1,2,1,1,"Salt Lake City, UT","Salt Lake City, UT Metro Area"
Non-networked,117222,,Sideways Inn,"114 East Highway 246, Buellton, CA 93427",CA,34.611657,-120.19143,Hotel/Lodging,Pacific Gas & Electric Company,25,25,1,1,0,1,"Santa Maria-Santa Barbara, CA","Santa Maria-Santa Barbara, CA Metro Area"
Non-networked,117705,,Queenston Chevy Buick GMC,"2260 Rymal Rd E, Hannon, ON L0R 1P0, Canada",,43.172794,-79.777879,Car Dealership,,,,1,1,1,0,,
Non-networked,119214,,BMVW Cars (Showroom),"6781 Londonderry Way, Union City, GA 30291",GA,33.570336,-84.538489,Car Dealership,,20,20,1,1,0,1,"Atlanta-Sandy Springs-Roswell, GA","Atlanta-Sandy Springs-Roswell, GA Metro Area"
Non-networked,119675,,Travelodge Santa Maria,"1514 S Broadway, Santa Maria, CA 93454",CA,34.933114,-120.435632,,Pacific Gas & Electric Company,50,50,1,1,0,1,"Santa Maria-Santa Barbara, CA","Santa Maria-Santa Barbara, CA Metro Area"
Non-networked,120336,,Borne Ã‰lectrique QuÃ©bec ,"5521 boul. Bourque, Sherbrooke, QuÃ©bec J1N 1G Canada",,45.364028,-72.002171,Workplace Public,,,,1,2,1,1,,
Non-networked,120359,,Berman Nissan,"3456 N. Kedzie Ave., Chicago, IL 60618",IL,41.943614,-87.708219,Nissan Dealership,,50,50,1,1,0,1,"Chicago-Naperville-Elgin, IL-IN-WI","Chicago-Naperville-Elgin, IL-IN-WI Metro Area"
Non-networked,120478,,Heinz Field - Gold 1 Parking Garage,"792 W General Robinson St, Pittsburgh, PA 15212",PA,40.447101,-80.01213,Parking Garage/Lot,,50,50,2,4,2,2,"Pittsburgh, PA","Pittsburgh, PA Metro Area"
Non-networked,120491,,Mohawk Valley Welcome Center,"Taste of NY, Fultonville, NY 12072",NY,42.916065,-74.446161,Car Service,,50,50,3,3,0,3,"Amsterdam, NY","Amsterdam, NY Micro Area"
Non-networked,120599,,Reisterstown Road Library Branch,"6310 Reisterstown Rd, Baltimore, MD 21215",MD,39.354581,-76.700588,Library,,50,50,1,2,1,1,"Baltimore-Columbia-Towson, MD","Baltimore-Columbia-Towson, MD Metro Area"
Non-networked,120630,,CÃ©cil Bilodeau Autos (GM),"9641 boul. Sainte-Anne, Sainte-Anne-de-BeauprÃ©, QuÃ©bec G0A 3C0 Canada",,47.019044,-70.937638,Car Dealership,,24,24,1,1,1,0,,
Non-networked,121172,,Park Avenue Volkswagen,"8900 Taschereau Blvd, Brossard, QC J4X 1C2, Canada",,45.439651,-73.474106,Car Dealership,,,,1,1,1,0,,
Non-networked,121398,,Strawberry Alley Parking/Charging,"112 Strawberry Alley, Clarksville, TN 37040",TN,36.527889,-87.359879,,,50,50,1,1,0,1,"Clarksville, TN-KY","Clarksville, TN-KY Metro Area"
Non-networked,121422,,Davis Chevrolet Cadillac ,"2600 N Main St, Gainesville, FL 32609, USA",FL,29.676618,-82.320934,Car Dealership,,,,1,1,1,0,"Gainesville, FL","Gainesville, FL Metro Area"
Non-networked,121502,,Macmulkin Chevrolet ,"3 Marmon Dr, Nashua NH 03060, United States",NH,42.728026,-71.444554,,,25,25,1,1,1,0,"Manchester-Nashua, NH","Manchester-Nashua, NH Metro Area"
Non-networked,121560,,Cascade Chevrolet/Cadillac,"148 Easy Street, Wenatchee, WA 98801",WA,47.467289,-120.336927,Car Dealership,,25,25,1,1,1,0,"Wenatchee, WA","Wenatchee, WA Metro Area"
Non-networked,121576,,Sutherlin Nissan of Cherokee,"101 Harbor Creek Parkway, Holly Springs, GA 30115",GA,34.183647,-84.503048,Nissan Dealership,,50,50,1,2,1,1,"Atlanta-Sandy Springs-Roswell, GA","Atlanta-Sandy Springs-Roswell, GA Metro Area"
Non-networked,122714,,Del Chevrolet,"1644 E. Lancaster Avenue, Paoli, PA 19301",PA,40.041881,-75.469932,Car Dealership,,25,25,1,1,1,0,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area"
Non-networked,124962,,Greenbelt City Municipal Building ,"25 Crescent Road, Greenbelt, MD 20770",MD,39.000722,-76.877354,Government,,50,50,1,2,1,1,"Washington-Arlington-Alexandria, DC-VA-MD-WV","Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area"
Non-networked,125506,,Bryner Chevrolet,"1750 The Fairway, Jenkintown, PA 19046",PA,40.105576,-75.121323,Car Dealership,,25,25,1,1,1,0,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area"
Non-networked,125561,,Palm Chevrolet ,"2300 SW College Rd, Ocala, FL 34471",FL,29.170463,-82.162031,Car Dealership,,,,1,1,1,0,"Ocala, FL","Ocala, FL Metro Area"
Non-networked,125674,,Northstar GM Cranbrook,"1816 Cranbrook St N, Cranbrook BC V1C 3T1, Canada",,49.528904,-115.746888,Car Dealership,,,,1,1,1,0,,
Non-networked,126062,,Kelley Chevrolet Service Bay,5220 Value Dr,IN,41.127549,-85.160997,Car Dealership,,25,25,1,1,1,0,"Fort Wayne, IN","Fort Wayne, IN Metro Area"
Non-networked,126094,,Best Western Plus,"559 Bloor St W, Oshawa ON L1J 5Y6, Canada ",,43.874393,-78.877644,Hotel/Lodging,,,,2,4,2,2,,
Non-networked,126095,,University of Cincinnati - Daniels Hall,"45 W. Daniels St., Cincinnati, OH 45219",OH,39.131711,-84.511531,School/University,,,,1,2,1,1,"Cincinnati, OH-KY-IN","Cincinnati, OH-KY-IN Metro Area"
Non-networked,126102,,Audi Of Sarasota ,"4900 Clark Rd, Sarasota, FL 34233",FL,27.268808,-82.469175,Car Dealership,,,,1,1,1,0,"North Port-Sarasota-Bradenton, FL","North Port-Sarasota-Bradenton, FL Metro Area"
Non-networked,127406,,Maryland House,"I-95 MD Turnpike, John F Kennedy Memorial Hwy, Aberdeen, MD 21001; Mile Marker 82",MD,39.498083,-76.231833,Restaurant,,50,50,6,12,6,6,"Baltimore-Columbia-Towson, MD","Baltimore-Columbia-Towson, MD Metro Area"
Non-networked,127568,,Nicol Auto ,"400, 2e rue Est, La Sarre, QuÃ©bec J9Z 2J1 Canada",,48.800174,-79.200673,Car Dealership,,,,1,1,1,0,,
Non-networked,129130,,Orleans Street Branch LIbrary,"1303 Orleans St, Baltimore, MD 21231",MD,39.294469,-76.599286,Library,,,,1,2,1,1,"Baltimore-Columbia-Towson, MD","Baltimore-Columbia-Towson, MD Metro Area"
Non-networked,129790,,Audi Saskatoon ,"803 Melville St, Saskatoon, SK S7J 5L2, Canada",,52.08506,-106.651682,Car Dealership,,,,1,1,1,0,,
Non-networked,130214,,Rocheleau Chevrolet/Buick/GMC,"434 rue de la RiviÃ¨re, Cowansville, QuÃ©bec J2K 1N5 Canada",,45.210915,-72.769653,Car Dealership,,,,1,1,1,0,,
Non-networked,130786,,Ourisman Chevrolet,"807 Rockville Pike, Rockville, MD 20852",MD,39.075511,-77.138957,Car Dealership,,25,25,1,1,1,0,"Washington-Arlington-Alexandria, DC-VA-MD-WV","Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area"
Non-networked,131271,,Markâ€™s Casa Chevy,"7201 Lomas Blvd NE, Albuquerque, NM  87110, United States",NM,35.087848,-106.566359,Car Dealership,,25,25,1,1,1,0,"Albuquerque, NM","Albuquerque, NM Metro Area"
Non-networked,131411,,Southern Tier Welcome Center Northbound,"I-81 N, Kirkwoodâ€Ž NYâ€Ž 13795, United States",NY,42.02,-75.780685,Car Service,,50,50,2,4,2,2,"Binghamton, NY","Binghamton, NY Metro Area"
Non-networked,132342,,Sport Chevrolet ,"3101 Automobile Blvd, Silver Spring, MD 20904",MD,39.081114,-76.947243,Car Dealership,,25,25,1,1,1,0,"Washington-Arlington-Alexandria, DC-VA-MD-WV","Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area"
Non-networked,132613,,Nissan of LaGrange,"1050 Lafayette Pkwy, LaGrange, GA 30241",GA,33.038641,-85.008712,Nissan Dealership,,,,1,1,0,1,"LaGrange, GA","LaGrange, GA Micro Area"
Non-networked,133549,,Carter Chevrolet,"175 Hartford Turnpike, Vernon, CT 06066, USA",CT,41.821907,-72.500933,Car Dealership,,25,25,1,1,1,0,"Hartford-West Hartford-East Hartford, CT","Hartford-West Hartford-East Hartford, CT Metro Area"
Non-networked,133595,,Aldermanâ€™s Chevrolet ,"65 Windcrest Rd, Rutland, VT  05701, United States",VT,43.576001,-72.964971,Car Dealership,,25,25,1,1,1,0,"Rutland, VT","Rutland, VT Micro Area"
Non-networked,133709,,Boisvert Chevrolet Buick GMC Corvette,"470 Boulevard CurÃ©-Labelle, Blainville, Quebec J7C 2H2, Canada",,45.6548,-73.849159,Car Dealership,,,,1,1,1,0,,
Non-networked,134492,,Bud Clary Chevrolet ,"1030 Commerce Ave, Longview, WA 98632",WA,46.132455,-122.935441,Car Dealership,,25,25,1,1,1,0,"Longview, WA","Longview, WA Metro Area"
Non-networked,134659,,Kalawsky Chevrolet,"1700 Columbia Ave, Castlegar, BC V1N 2W4, Canada",,49.301733,-117.659273,Car Dealership,,,,1,1,1,0,,
Non-networked,134721,,Tim Lally Chevrolet,"24999 Miles Rd, Warrensville Heights, OH 44128",OH,41.426891,-81.502527,Car Dealership,,25,25,1,1,1,0,"Cleveland-Elyria, OH","Cleveland-Elyria, OH Metro Area"
Non-networked,134788,,Chesapeake House Travel Center,"10670 I-95, Port Deposit, MD 21904, USA",MD,39.612099,-76.009529,Car Service,,50,50,6,12,6,6,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area"
Non-networked,135012,,Allen Gwynn Chevrolet ,"1400 S Brand Blvd, Glendale, CA  91204, United States",CA,34.128192,-118.254253,Car Dealership,Glendale Water & Power,25,25,1,1,1,0,"Los Angeles-Long Beach-Anaheim, CA","Los Angeles-Long Beach-Anaheim, CA Metro Area"
Non-networked,135092,,VÃ©hicules Ã‰lectriques Simon AndrÃ©,"7050 boul. Jean-XXIII, Trois-RiviÃ¨res, QuÃ©bec G9A 5C9 Canada",,46.324691,-72.600689,Car Dealership,,50,50,1,2,1,1,,
Non-networked,136695,,Mirak Chevrolet,"1125 Massachusetts Ave, Arlington, MA 02476",MA,42.422857,-71.171974,Car Dealership,,25,25,1,1,1,0,"Boston-Cambridge-Newton, MA-NH","Boston-Cambridge-Newton, MA-NH Metro Area"
Non-networked,136930,,Pala Road Park & Ride,"3346 Old Hwy 395, Fallbrook, CA 92028",CA,33.329613,-117.162454,Parking Garage/Lot,San Diego Gas & Electric,50,50,2,4,2,2,"San Diego-Carlsbad, CA","San Diego-Carlsbad, CA Metro Area"
Non-networked,137256,,Ourisman Chevrolet,4400 Branch Avenue Marlow Heights MD,MD,38.831574,-76.934778,,,25,25,1,1,1,0,"Washington-Arlington-Alexandria, DC-VA-MD-WV","Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area"
Non-networked,137895,,Valleyfield Chevrolet,"1325 boul. Monseigneur-Langlois, Salaberry-de-Valleyfield, QuÃ©bec J6S 1C1 Canada",,45.271009,-74.133551,Car Dealership,,,,1,1,1,0,,
Non-networked,137922,,Donohoo Chevrolet,"1000 Greenhill Blvd NW, Fort Payneâ€Ž ALâ€Ž 35967, United States",AL,34.474691,-85.709556,,,25,25,1,1,1,0,"Fort Payne, AL","Fort Payne, AL Micro Area"
Non-networked,138558,,Everett Chevy Buick GMC Cadillac,"161 US Hwy 70 SE, Hickory, NC 28602",NC,35.714623,-81.333327,Car Dealership,,25,25,1,1,1,0,"Hickory-Lenoir-Morganton, NC","Hickory-Lenoir-Morganton, NC Metro Area"
Non-networked,138649,,Central Chevrolet,"675 Memorial Ave, West Springfield, MA 01089",MA,42.095577,-72.609215,Car Dealership,,25,25,1,1,1,0,"Springfield, MA","Springfield, MA Metro Area"
Non-networked,138863,,Folsom Chevrolet ,"12635 Auto Mall Cir, Folsom, CA  95630",CA,38.635464,-121.204195,Car Dealership,Sacramento Municipal Utility District,25,25,1,1,1,0,"Sacramento--Roseville--Arden-Arcade, CA","Sacramento--Roseville--Arden-Arcade, CA Metro Area"
Non-networked,140098,,Racine Chevrolet,"1080 rue Douglas, Saint-Jean-sur-Richelieu, QuÃ©bec J3A 0A2 Canada",,45.33675,-73.286812,Car Dealership,,,,1,1,1,0,,
Non-networked,140448,,Emerson Chevrolet,"946 Center St, Auburn, ME 04210",ME,44.134173,-70.226618,Car Dealership,,25,25,1,1,1,0,"Lewiston-Auburn, ME","Lewiston-Auburn, ME Metro Area"
Non-networked,140628,,Maguire Chevrolet Cadillac,"35 Cinema Dr, Ithaca, NY 14850",NY,42.480962,-76.477612,Car Dealership,,25,25,1,1,1,0,"Ithaca, NY","Ithaca, NY Metro Area"
Non-networked,140829,,Los Altos High School,"201 Almond Ave, Los Altos, CA 94022",CA,37.385631,-122.109918,School/University,Pacific Gas & Electric Company,50,50,1,2,1,1,"San Jose-Sunnyvale-Santa Clara, CA","San Jose-Sunnyvale-Santa Clara, CA Metro Area"
Non-networked,140921,,Groupe Whittom,"480 boul. Laure, Sept-ÃŽles, QuÃ©bec G4R 1X5 Canada",,50.213285,-66.374814,Gas Station,,50,50,1,2,1,1,,
Non-networked,140968,,Carroll Avenue Parking/Charging,"7000 Carroll Avenue, Takoma Park, MD 20912",MD,38.97475,-77.012685,Street Parking,,50,50,1,2,1,1,"Washington-Arlington-Alexandria, DC-VA-MD-WV","Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area"
Non-networked,141214,,Vickar Automotive Group,"964 Regent Ave W, Winnipeg MB R2C 3A8, Canada",,49.895163,-97.035464,Car Dealership,,,,1,1,1,0,,
Non-networked,141337,,BMW of Wichita,"11000 E 13th St N, Wichita, KS 67206",KS,37.708861,-97.209745,Car Dealership,,25,25,1,1,1,0,"Wichita, KS","Wichita, KS Metro Area"
Non-networked,141669,,Capital Chevrolet Cadillac,"2855 Maple Ave NE, Salem, OR 97301",OR,44.968261,-123.026676,Car Dealership,,25,25,1,1,1,0,"Salem, OR","Salem, OR Metro Area"
Non-networked,142168,,Sunshine Coast GM,"1633 Field Rd, Sechelt, BC V0N 3A1, Canada",,49.440949,-123.710347,Car Dealership,,,,1,1,1,0,,
Non-networked,143233,,FR Dallaire GM,"4196 rue Laval, Lac-MÃ©gantic, QuÃ©bec G6B 1A8 Canada",,45.584046,-70.89546,Car Dealership,,,,1,1,1,0,,
Non-networked,143418,,Jack Maxton Chevrolet ,"700 E Dublin-Granville Rd, Worthington, OH 43229",OH,40.089177,-83.000266,Car Dealership,,25,25,1,1,1,0,"Columbus, OH","Columbus, OH Metro Area"
Non-networked,143671,,Young Chevrolet ,"645 N Main St, Layton, UT 84041",UT,41.069155,-111.976001,Car Dealership,,25,25,1,1,1,0,"Ogden-Clearfield, UT","Ogden-Clearfield, UT Metro Area"
Non-networked,143692,,Lannan Chevrolet,"831 Rogers St, Lowell, MA 01852",MA,42.628615,-71.275136,Car Dealership,,25,25,1,1,1,0,"Boston-Cambridge-Newton, MA-NH","Boston-Cambridge-Newton, MA-NH Metro Area"
Non-networked,144060,,Loon Lake Rest Area,"Okanagan Connector, Quilchena, BC V0E 2R0, Canada",,49.882433,-120.465499,Parking Garage/Lot,,,,2,4,2,2,,
Non-networked,144279,,Goodwinâ€™s Chevrolet,"195 Pleasant St, Brunswick, ME 04011",ME,43.911457,-69.992537,Car Dealership,,25,25,1,1,1,0,"Portland-South Portland, ME","Portland-South Portland, ME Metro Area"
Non-networked,144562,,Feldman Chevrolet,"42355 Grand River Ave, Novi, MI 48375",MI,42.477746,-83.46478,Car Dealership,,25,25,1,1,1,0,"Detroit-Warren-Dearborn, MI","Detroit-Warren-Dearborn, MI Metro Area"
Non-networked,144707,,Vic Canever Chevrolet,"3000 Owen Rd, Fenton, MI 48430",MI,42.790585,-83.729958,Car Dealership,,25,25,1,1,1,0,"Flint, MI","Flint, MI Metro Area"
Non-networked,144818,,Cody Chevrolet,"364 River St, Montpelier, VT 05602",VT,44.238195,-72.552434,Car Dealership,,25,25,1,1,1,0,"Barre, VT","Barre, VT Micro Area"
Non-networked,144919,,Herndon Chevrolet,"5617 Sunset Blvd, Lexington, SC 29072",SC,33.992833,-81.228107,Car Dealership,,25,25,1,1,1,0,"Columbia, SC","Columbia, SC Metro Area"
Non-networked,145543,,Raintree School,"2100 S Mason Rd, St. Louis, MO 63131",MO,38.599461,-90.478716,School/University,,0,25,1,2,1,1,"St. Louis, MO-IL","St. Louis, MO-IL Metro Area"
Non-networked,146587,,Petersen Chevrolet Buick Inc.,"1006 W Oak St, Fairbury, IL 61739",IL,40.744665,-88.529267,Car Dealership,,50,50,1,1,1,0,"Pontiac, IL","Pontiac, IL Micro Area"
Non-networked,146896,,Le Relais Chevrolet,"9411 avenue Papineau, MontrÃ©al, QuÃ©bec H2M 2G5 Canada",,45.565159,-73.643535,Car Dealership,,,,1,1,1,0,,
Non-networked,146911,,AutoNation Chevy Amarillo,"2200 E I-40, Amarillo, TX 79103",TX,35.192422,-101.811685,Car Dealership,,25,25,1,1,1,0,"Amarillo, TX","Amarillo, TX Metro Area"
Non-networked,147504,,Kool Chevrolet,"3770 Plainfield Ave NE, Grand Rapids, MI 49525",MI,43.030749,-85.626968,Car Dealership,,25,25,1,1,1,0,"Grand Rapids-Wyoming, MI","Grand Rapids-Wyoming, MI Metro Area"
Non-networked,151991,,Rover Taxi,"426 S Main St, McAlester, OK 74501",OK,34.927248,-95.770147,Workplace Public,,50,50,3,6,3,3,"McAlester, OK","McAlester, OK Micro Area"
Non-networked,152215,,Ballweg Chevrolet,"783 Phillips Blvd, Sauk City, WI 53583",WI,43.271995,-89.733874,Car Dealership,,25,25,1,1,1,0,"Baraboo, WI","Baraboo, WI Micro Area"
Non-networked,152269,,Penske Chevrolet,"3210 E 96th St, Indianapolis, IN 46240",IN,39.927539,-86.11086,Car Dealership,,25,25,1,1,1,0,"Indianapolis-Carmel-Anderson, IN","Indianapolis-Carmel-Anderson, IN Metro Area"
Non-networked,152288,,Feldman Chevrolet of New Hudson,"30400 Lyon Center Dr, Lyon Charter Twp, MI 48165",MI,42.51619,-83.609021,Car Dealership,,25,25,1,1,1,0,"Detroit-Warren-Dearborn, MI","Detroit-Warren-Dearborn, MI Metro Area"
Non-networked,152447,,eCamion Inc.,"450 Midwest Rd, Scarborough, ON M1P 3A9, Canada",,43.76351,-79.272541,Workplace Public,,,,3,3,3,0,,
Non-networked,153029,,IKEA North York,"15 Provost Dr, North York, ON M2K 2X9, Canada",,43.76713,-79.367844,Store,,,,2,4,2,2,,
Non-networked,153990,,Wesley Chapel Chevrolet,"26922 Wesley Chapel Blvd, Wesley Chapel, FL 33544",FL,28.232231,-82.370804,Car Dealership,,25,25,1,1,1,0,"Tampa-St. Petersburg-Clearwater, FL","Tampa-St. Petersburg-Clearwater, FL Metro Area"
Non-networked,154140,,Riverside Nissan,"8330 Indiana Ave, Riverside, CA 92504",CA,33.925475,-117.41982,Nissan Dealership,City of Riverside,44,44,1,1,0,1,"Riverside-San Bernardino-Ontario, CA","Riverside-San Bernardino-Ontario, CA Metro Area"
Non-networked,154150,,Antelope Valley Nissan,"451 Auto Center Drive, Palmdale, CA, 93551",CA,34.591272,-118.13818,Nissan Dealership,Southern California Edison,44,44,1,1,0,1,"Los Angeles-Long Beach-Anaheim, CA","Los Angeles-Long Beach-Anaheim, CA Metro Area"
Non-networked,154165,,West Herr Chevrolet of Williamsville,"8040 Transit Rd, Williamsville, NY 14221",NY,42.986753,-78.697294,Car Dealership,,25,25,1,1,1,0,"Buffalo-Cheektowaga-Niagara Falls, NY","Buffalo-Cheektowaga-Niagara Falls, NY Metro Area"
Non-networked,154755,,Downtown Transit Center/Parking Garage,"100 Main St, Juneau, AK 99801",AK,58.300203,-134.408456,Parking Garage/Lot,,44,44,1,1,0,1,"Juneau, AK","Juneau, AK Micro Area"
Non-networked,155469,,Kia Val-BÃ©lair,"1920 rue de l'Interlude, QuÃ©bec, QuÃ©bec G3K 0R6 Canada",,46.860005,-71.408333,Car Dealership,,,,1,2,1,1,,
Non-networked,155599,,Lou Fusz Chevy,"5120 I-70 North Outer Rd, St Peters, MO 63376",MO,38.800322,-90.611325,Car Dealership,,25,25,1,1,1,0,"St. Louis, MO-IL","St. Louis, MO-IL Metro Area"
Non-networked,155691,,DeNooyer Chevrolet,"127 Wolf Rd, Albany, NY 12205",NY,42.717814,-73.806245,Car Dealership,,25,25,1,1,1,0,"Albany-Schenectady-Troy, NY","Albany-Schenectady-Troy, NY Metro Area"
Non-networked,156129,,Tim Hortons,"3455 boul. Laframboise, Saint-Hyacinthe, QuÃ©bec J2R 1J9 Canada",,45.637913,-72.969748,Restaurant,,,,1,2,1,1,,
Non-networked,156226,,Audi Mississauga,"787 Bancroft Dr, Mississauga, ON L5V 2Y6, Canada",,43.61801,-79.705041,Gas Station,,,,1,1,1,0,,
Non-networked,156258,,Nanticoke River Discovery Center,"113 Old Ocean Gateway, Vienna, MD 21869, USA",MD,38.485489,-75.823921,Parking Garage/Lot,,,,2,4,2,2,"Cambridge, MD","Cambridge, MD Micro Area"
Non-networked,156715,,Mesa County Library,"443 N 6th St, Grand Junction, CO 81501",CO,39.071662,-108.564119,Library,,25,25,1,2,1,1,"Grand Junction, CO","Grand Junction, CO Metro Area"
Non-networked,156732,,Francis Energy Headquarters,"1924 E 6th St, Tulsa, OK  74104, United States",OK,36.152153,-95.963996,Workplace Public,,,,1,2,1,1,"Tulsa, OK","Tulsa, OK Metro Area"
Non-networked,157314,,Beltrami Electric Cooperative,"4111 Technology Dr NW, Bemidji, MN 56601, USA",MN,47.507072,-94.909151,Workplace Public,,50,50,1,2,1,1,"Bemidji, MN","Bemidji, MN Micro Area"
Non-networked,157424,,Joe Basil Resale Center,"5117 Transit Rd, Depew, NY 14043",NY,42.891894,-78.695979,Car Dealership,,25,25,1,1,1,0,"Buffalo-Cheektowaga-Niagara Falls, NY","Buffalo-Cheektowaga-Niagara Falls, NY Metro Area"
Non-networked,158006,,Nissan of Lexington Park,"22757 Three Notch Rd, California, MD 20619",MD,38.291901,-76.496008,Nissan Dealership,,,,1,2,1,1,"California-Lexington Park, MD","California-Lexington Park, MD Metro Area"
Non-networked,158132,,Arrowhead Chevrolet,"9055 W Bell Rd, Peoria, AZ 85382",AZ,33.63676,-112.251789,Car Dealership,,25,25,1,1,1,0,"Phoenix-Mesa-Scottsdale, AZ","Phoenix-Mesa-Scottsdale, AZ Metro Area"
Non-networked,158564,,Chevrolet of Columbus ,"2825 Merchant Mile, Columbus, IN  47201, United States",IN,39.197709,-85.957191,Car Dealership,,25,25,1,1,1,0,"Columbus, IN","Columbus, IN Metro Area"
Non-networked,158992,,Marine Chevrolet,"1408 Western Blvd, Jacksonville, NC 28546",NC,34.789482,-77.402477,Car Dealership,,25,25,1,1,1,0,"Jacksonville, NC","Jacksonville, NC Metro Area"
Non-networked,160661,,Volkswagen Lachute,"475 avenue BÃ©thany, Lachute, QuÃ©bec J8H 4H3 Canada",,45.640401,-74.327377,Car Dealership,,24,24,1,1,1,0,,
Non-networked,160662,,Keller Chevrolet,"3600 Genesee St, Buffalo, NY 14225",NY,42.927908,-78.752516,Car Dealership,,25,25,1,1,1,0,"Buffalo-Cheektowaga-Niagara Falls, NY","Buffalo-Cheektowaga-Niagara Falls, NY Metro Area"
Non-networked,161001,,Big Cypress Oasis Visitor Center,"52105 Tamiami Trail E, Ochopee, FL 34141",FL,25.857305,-81.033122,Park,,25,25,1,2,1,1,"Naples-Immokalee-Marco Island, FL","Naples-Immokalee-Marco Island, FL Metro Area"
Non-networked,161247,,Western NY Welcome Center,"2182 Alvin Rd Grand Island, NY",NY,43.019336,-78.974559,Workplace Public,,50,50,3,6,3,3,"Buffalo-Cheektowaga-Niagara Falls, NY","Buffalo-Cheektowaga-Niagara Falls, NY Metro Area"
Non-networked,161670,,Hyattsville City Municipal Center,"4310 Gallatin St, Hyattsville, MD 20781, USA",MD,38.952672,-76.941791,Civic,,50,50,2,4,2,2,"Washington-Arlington-Alexandria, DC-VA-MD-WV","Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area"
Non-networked,162708,,ImPark,"393 University Ave, Toronto, ON M5G 1E6, Canada",,43.654015,-79.387295,Parking Garage/Lot,,,,1,2,1,1,,
Non-networked,162792,,Tardif Chevrolet ,"1187, route 111 Est, Amos, QuÃ©bec J9T 3S3 Canada",,48.560655,-78.096493,Car Dealership,,,,1,1,1,0,,
Non-networked,163257,,Flannery Chevrolet,"1005â€“1075 Sand Beach Rd, Bad Axe, MI  48413, United States",MI,43.803323,-82.97887,Car Dealership,,25,25,1,1,1,0,,
Non-networked,163273,,Heartland Cranberry Mall,"201 Helen Walton St, Tomah, WI 54660",WI,44.018149,-90.508376,Restaurant,,50,50,3,6,5,1,,
Non-networked,163591,,Red Wing Public Parking Lot,"318 W 3rd St, Red Wing, MN 55066, USA",MN,44.565972,-92.533947,Parking Garage/Lot,,25,25,1,1,1,0,"Red Wing, MN","Red Wing, MN Micro Area"
Non-networked,163731,,Taylor River Rest Area,"858 Pacific Rim Hwy, Ucluelet, BC, Canada",,49.294916,-125.299529,Parking Garage/Lot,,,,2,4,2,2,,
Non-networked,163796,,Noodles and Company,"922 Holiday Dr, Moorhead, MN 56560",MN,46.849344,-96.76714,Restaurant,,50,50,1,2,1,1,"Fargo, ND-MN","Fargo, ND-MN Metro Area"
Non-networked,163935,,St. Cloud HUB,"504 1st St N, St Cloud, MN 56303, USA",MN,45.562188,-94.158954,Shopping Center,,,,1,2,1,1,"St. Cloud, MN","St. Cloud, MN Metro Area"
Non-networked,164117,,Keyes Chevrolet ,"1966 Stout St, Menomonie, WI 54751, USA",WI,44.904187,-91.92947,Car Dealership,,25,25,1,1,1,0,"Menomonie, WI","Menomonie, WI Micro Area"
Non-networked,164943,,Georgina P Blach Intermediate School,"1120 Covington Rd, Los Altos, CA 94024",CA,37.364244,-122.083163,School/University,Pacific Gas & Electric Company,50,50,2,4,2,2,"San Jose-Sunnyvale-Santa Clara, CA","San Jose-Sunnyvale-Santa Clara, CA Metro Area"
Non-networked,164946,,Egan Junior High School,"100 W Portola Ave, Los Altos, CA 94022",CA,37.39643,-122.117861,School/University,Pacific Gas & Electric Company,25,25,2,4,2,2,"San Jose-Sunnyvale-Santa Clara, CA","San Jose-Sunnyvale-Santa Clara, CA Metro Area"
Non-networked,165439,,Stykemain Chevrolet,"1255 N Williams St, Paulding, OH 45879",OH,41.155419,-84.580035,Car Dealership,,25,25,1,1,1,0,,
Non-networked,166255,,Ron Currierâ€™s Hilltop Chevrolet ,"385 NH-108, Somersworth, NH 03878",NH,43.2656,-70.906024,Car Dealership,,25,25,1,1,1,0,"Boston-Cambridge-Newton, MA-NH","Boston-Cambridge-Newton, MA-NH Metro Area"
Non-networked,166262,,Buster Miles Chevrolet,"1884 Almon St, Heflin, AL 36264",AL,33.624475,-85.596331,Car Dealership,,25,25,1,1,1,0,,
