Network,id,ocpi_id,Name,Address,State,Latitude,Longitude,POI,Utility,kilowatts_,kilowatts1,F__station,F__DCFCs,F__CCS,F__CHAdeMO,NAME_1,NAMELSAD
Non-networked,1420,,Surf City Nissan,"17331 Beach Blvd, Huntington Beach CA 92647",CA,33.710541,-117.989754,Nissan Dealership,Southern California Edison,50,50,1,1,0,1,"Los Angeles-Long Beach-Anaheim, CA","Los Angeles-Long Beach-Anaheim, CA Metro Area"
Non-networked,1421,,Imperio Nissan of Garden Grove,"9222 Trask Ave, Garden Grove CA 92844",CA,33.766357,-117.968028,Nissan Dealership,Southern California Edison,50,50,1,1,0,1,"Los Angeles-Long Beach-Anaheim, CA","Los Angeles-Long Beach-Anaheim, CA Metro Area"
Non-networked,1422,340,Universal City Nissan,"3550 Cahuenga Blvd W, Los Angeles, CA 90068",CA,34.133202,-118.356216,Nissan Dealership,Los Angeles Department of Water & Power,24,24,1,1,0,1,"Los Angeles-Long Beach-Anaheim, CA","Los Angeles-Long Beach-Anaheim, CA Metro Area"
Non-networked,1425,320,Ross Nissan of El Monte,"3428 Peck Rd, El Monte, CA 91731",CA,34.069202,-118.025177,Nissan Dealership,Southern California Edison,24,24,1,1,0,1,"Los Angeles-Long Beach-Anaheim, CA","Los Angeles-Long Beach-Anaheim, CA Metro Area"
Non-networked,1431,,West Covina Nissan,"205 N. Citrus Street, West Covina, CA 91791",CA,34.074482,-117.891502,Nissan Dealership,Southern California Edison,,,1,1,0,1,"Los Angeles-Long Beach-Anaheim, CA","Los Angeles-Long Beach-Anaheim, CA Metro Area"
Non-networked,1432,310,Tustin Nissan,"30 Auto Center Dr, Tustin, CA 92782",CA,33.724659,-117.799248,Nissan Dealership,Southern California Edison,24,24,1,1,0,1,"Los Angeles-Long Beach-Anaheim, CA","Los Angeles-Long Beach-Anaheim, CA Metro Area"
Non-networked,1435,,Metro Nissan of Montclair,"9440 Autoplex St, Montclair, CA 91763",CA,34.082414,-117.694751,Nissan Dealership,Southern California Edison,50,50,1,1,0,1,"Riverside-San Bernardino-Ontario, CA","Riverside-San Bernardino-Ontario, CA Metro Area"
Non-networked,1438,,Nissan Of San Juan Capistrano,"30512 Stonehill Dr, Capistrano Beach, CA 92624, USA",CA,33.474285,-117.676331,Nissan Dealership,San Diego Gas & Electric,50,50,1,1,0,1,"Los Angeles-Long Beach-Anaheim, CA","Los Angeles-Long Beach-Anaheim, CA Metro Area"
Non-networked,1439,,Empire Nissan,"1377 Kettering Loop, Ontario CA 91761",CA,34.04929,-117.54723,Nissan Dealership,Southern California Edison,50,50,1,1,0,1,"Riverside-San Bernardino-Ontario, CA","Riverside-San Bernardino-Ontario, CA Metro Area"
Non-networked,1443,,Team Nissan,"1801 Auto Center Dr, Oxnard, CA 93036",CA,34.227707,-119.150207,Nissan Dealership,Southern California Edison,,,1,1,0,1,"Oxnard-Thousand Oaks-Ventura, CA","Oxnard-Thousand Oaks-Ventura, CA Metro Area"
Non-networked,1459,,Nissan Bakersfield ,"2800 Pacheco Rd, Bakersfield CA 93313",CA,35.310665,-119.035408,Nissan Dealership,Pacific Gas & Electric Company,50,50,1,1,0,1,"Bakersfield, CA","Bakersfield, CA Metro Area"
Non-networked,1478,,Imperio Nissan,"32 Auto Center Dr, Irvine, CA 92618",CA,33.632595,-117.723022,Nissan Dealership,Southern California Edison,,,1,1,0,1,"Los Angeles-Long Beach-Anaheim, CA","Los Angeles-Long Beach-Anaheim, CA Metro Area"
Non-networked,1538,,Ray Schultens Nissan,"2400 W 6th St, The Dalles, OR 97058",OR,45.613922,-121.209923,Nissan Dealership,,50,50,1,1,0,1,"The Dalles, OR","The Dalles, OR Micro Area"
Non-networked,1564,,Richardson Street Garage,"66 Richardson Street, Greenville, SC 29601",SC,34.852402,-82.400139,Parking Garage/Lot,,50,50,1,2,1,1,"Greenville-Anderson-Mauldin, SC","Greenville-Anderson-Mauldin, SC Metro Area"
Non-networked,1577,,Campbell Nissan of Edmonds,"24325 Highway 99, Edmonds, WA 98026",WA,47.778172,-122.344856,Nissan Dealership,,50,50,2,2,0,2,"Seattle-Tacoma-Bellevue, WA","Seattle-Tacoma-Bellevue, WA Metro Area"
Non-networked,1579,,Dan Wilder Nissan ,"97 Deer Park Rd, Port Angeles, WA 98362",WA,48.102884,-123.342597,Nissan Dealership,,50,50,1,1,0,1,"Port Angeles, WA","Port Angeles, WA Micro Area"
Non-networked,1603,,Dave Smith Nissan,"6901 E Sprague Ave, Spokane Valley  WA  99212",WA,47.657324,-117.312172,Nissan Dealership,,50,50,1,1,0,1,"Spokane-Spokane Valley, WA","Spokane-Spokane Valley, WA Metro Area"
Non-networked,1608,,Tony Nissan ,"94-1299  Ka Uka Blvd, Waipahu HI  96797",HI,21.427691,-157.997833,Nissan Dealership,,50,50,1,1,0,1,"Urban Honolulu, HI","Urban Honolulu, HI Metro Area"
Non-networked,1615,,Pinnacle Nissan ,"7601 E Frank Lloyd Wright, Scottsdale AZ 85260",AZ,33.635078,-111.915421,Nissan Dealership,,50,50,1,1,0,1,"Phoenix-Mesa-Scottsdale, AZ","Phoenix-Mesa-Scottsdale, AZ Metro Area"
