Latitude,Longitude,Charger Type,Charger ID,Property Name,Revenue,Variable Expense,Fixed Expense,Direct Margin,Network Operating Margin,Capacity,Sessions to BE,Nov-17,Dec-17,Jan-18,Feb-18,Mar-18,Apr-18,May-18,Jun-18,Jul-18,Aug-18,Sep-18,Oct-18,Nov-18,Dec-18,Jan-19,Feb-19,Mar-19,Apr-19,May-19,Jun-19,Jul-19,Aug-19,Sep-19
33.717533,-118.050867,DC,C6875,Dunlap - Huntington Harbor,3737.684883,1728.563428,1344.376773,2009.121455,664.7446815,50,-1.790558065,0,0,0,0,0,0,0,0,0,0,0,8.794802867,9.601851852,3.622311828,11.1155914,9.689980159,5.654121864,5.731481481,7.394713262,6.652777778,4.619175627,5.936379928,6.430555556
33.717533,-118.050867,DC,C2883,Dunlap - Huntington Harbor,3772.250611,1744.549006,1344.376773,2027.701605,683.3248311,50,-1.840605606,6.002314815,6.982526882,6.64202509,7.006448413,5.772849462,6.037037037,5.983422939,7.483796296,10.27777778,12.77777778,12.00925926,8.888888889,8.502314815,12.55600358,9.498207885,8.883928571,5.947580645,6.578703704,6.67562724,6.534722222,6.328405018,5.132168459,7.24537037
37.696475,-121.850193,DC,C6415,BHV - Pacific Pearl,10961.5047,3100.307814,1447.765933,7861.196881,6413.430948,50,-17.27523488,2.388888889,4.018817204,6.081989247,6.068948413,9.637096774,8.907407407,7.970430108,10.00694444,9.825268817,13.5483871,14.16203704,11.48073477,11.45833333,15.32930108,14.88799283,18.46478175,15.55331541,15.60648148,17.14605735,13.95833333,14.00761649,12.60752688,13.93981481
37.696462,-121.849109,DC,C6511,BHV - Pacific Pearl,3660.159746,1035.224832,1447.765933,2624.934914,1177.16898,50,-3.170825536,10.19444444,9.890232975,13.20116487,15.87053571,18.09811828,18.65046296,16.59498208,17.37731481,18.57750896,21.66666667,21.86342593,20.83333333,10.89583333,11.7405914,5.703405018,7.28422619,4.917114695,6.574074074,6.234318996,4.206018519,5.230734767,4.475806452,7.009259259
41.48892,-81.710736,DC,C5245,Transformer Station Contemporary Art Space,765.9285813,547.4916414,720.7302884,218.4369398,-502.2933486,50,1.352978717,1.479166667,1.386648746,0.922939068,0.453869048,1.133512545,0.636574074,0.934139785,2.277777778,0.262096774,2.099014337,1.976851852,2.813620072,1.581018519,0.976702509,1.545698925,3.02827381,3.055555556,1.55787037,0.770609319,2.261574074,1.684587814,1.926523297,1.453703704
45.533894,-122.695457,DC,C6298,New Seasons Slabtown (Store #16),2537.313925,201.3858207,1652.930582,2335.928104,682.9975222,50,-1.839723966,6.851851852,6.680107527,8.35125448,7.981150794,7.809139785,10.43287037,12.18862007,10.97453704,10.4390681,12.09453405,13.06481481,11.98924731,12.82407407,13.98521505,11.6890681,9.020337302,7.177419355,6.263888889,6.348566308,5.847222222,6.644265233,6.830197133,6.289351852
41.294221,-72.89997,DC,C1522,Dunkin Donuts - New Haven,1228.606715,761.4359944,965.9107341,467.1707201,-498.740014,50,1.343407445,1.025462963,0.990143369,1.008064516,1.019345238,1.653225806,1.006944444,1.021505376,2.520833333,2.768817204,2.30734767,1.787037037,2.880824373,3.256944444,2.5,1.601702509,3.325892857,3.75,3.199074074,1.619623656,2.701388889,3.709677419,0.255376344,2.060185185
35.529131,-82.603449,DC,C5268,Asheville Outlet Mall,459.8669764,328.7430504,661.0285495,131.123926,-529.9046235,50,1.427352521,0.502314815,0.553315412,0.427867384,0.535714286,0.945340502,0.333333333,0.21281362,0.06712963,0.262096774,0.107526882,0,0.519713262,0.331018519,0.454749104,0.474910394,0.133928571,0.584677419,0.662037037,1.388888889,1.002314815,1.22983871,0.443548387,1.0625
35.529131,-82.603449,DC,C5182,Asheville Outlet Mall,273.2487981,195.3361472,661.0285495,77.91265088,-583.1158986,50,1.570682555,0.37037037,0.141129032,0.277777778,0.220734127,0.669802867,0.935185185,0.358422939,1.266203704,1.216397849,0.667562724,1.587962963,1.402329749,1.398148148,1.639784946,1.433691756,1.106150794,0.63844086,0.918981481,1.0640681,0.30787037,1.066308244,1.362007168,1.715277778
35.48404,-82.55774,DC,C5181,Biltmore Park Town Square,396.6915962,232.3663891,864.484259,164.3252072,-700.1590518,50,1.885950308,0.988425926,1.297043011,0.869175627,1.470734127,4.57437276,1.928240741,0.938620072,0.729166667,0.739247312,0.855734767,1.388888889,1.572580645,2.613425926,1.498655914,0.512992832,0.592757937,1.362007168,1.150462963,1.142473118,1.111111111,1.458333333,1.460573477,2.131944444
35.21994,-80.81255,DC,C6322,City of Charlotte - Thomas Avenue Lot,403.39771,265.3836199,867.8121591,138.0140901,-729.798069,50,1.965786044,1.518518519,1.126792115,1.02374552,7.502480159,1.025985663,1.331018519,1.149193548,0.983796296,0.952060932,1.843637993,0.872685185,0.656362007,0.907407407,0.768369176,0.777329749,0.515873016,1.599462366,1.233796296,0.589157706,0.43287037,0.320340502,2.495519713,1.703703704
35.924724,-84.066661,DC,C5853,EZ Stop 16,543.3523447,357.4434704,1066.029561,185.9088743,-880.1206863,50,2.370695451,1.076388889,2.432795699,1.971326165,1.666666667,2.06765233,2.122685185,2.363351254,1.199074074,2.28046595,2.078853047,2.018518519,3.521505376,4,3.263888889,2.051971326,2.904265873,1.173835125,1.578703704,1.288082437,1.421296296,1.4359319,0.909498208,1.365740741
35.732696,-83.995163,DC,C5292,EZ Stop 20,469.8914078,325.6282159,318.0335326,144.2631919,-173.7703407,50,0.468068258,0.418981481,0.423387097,0.582437276,0.763888889,0.362903226,0.092592593,0.41218638,0.555555556,0.477150538,0.257616487,0.759259259,0.777329749,1.386574074,1.64874552,1.944444444,1.67906746,1.202956989,2.569444444,1.290322581,0.571759259,0.943100358,1.424731183,1.719907407
35.828092,-84.277884,DC,C5293,EZ Stop 23,297.3565226,150.7783895,1221.244807,146.5781331,-1074.666674,50,2.894725048,0.409722222,0.015681004,0.125448029,0.401785714,0.311379928,0.43287037,0.371863799,0.493055556,0.304659498,0.120967742,0.729166667,0.665322581,0.921296296,0.640681004,0.096326165,0.37202381,0.174731183,0.467592593,0.676523297,0.578703704,0.468189964,0.710125448,1.175925926
33.049812,-117.288809,DC,C6328,Lazy Acres - Encinitas,10382.99189,6427.592007,2934.573928,3955.399878,1020.82595,50,-2.749699529,8.763888889,12.95922939,13.09139785,13.99801587,13.38261649,14.61574074,13.78136201,15.79861111,15.45026882,15.12320789,18.39814815,17.20430108,20.23842593,17.34318996,17.53584229,19.81894841,16.49193548,17.16435185,16.64650538,14.04861111,14.41980287,13.67159498,15.19907407
33.872386,-118.394562,DC,C6680,Lazy Acres - Hermosa Beach,9655.883324,3497.57074,1775.001943,6158.312584,4383.31064,50,-11.80689735,0,0,0,0,0,0,0,0,0,0,0,1.355286738,5.636574074,8.091397849,9.36827957,11.07142857,8.55062724,10.34259259,9.19578853,8.076388889,7.452956989,7.517921147,7.113425926
33.872386,-118.394562,DC,C6679,Lazy Acres - Hermosa Beach,11369.25674,4118.191821,1775.001943,7251.064924,5476.062981,50,-14.75033799,0,0,0,0,0,0,0,0,0,0,0,0.669802867,5.979166667,9.377240143,11.22311828,13.74751984,8.741039427,8.074074074,9.065860215,8.731481481,8.445340502,10.14336918,10.67824074
32.750225,-117.167657,DC,C1585,Lazy Acres - Hillcrest,22007.80038,5831.583572,3206.861028,16176.2168,12969.35578,50,-34.93429165,9.356481481,14.74014337,15.4390681,14.94791667,17.90994624,16.12962963,14.41980287,16.97685185,19.16666667,16.45609319,18.57638889,17.40143369,20.50462963,21.58826165,21.61514337,20.20833333,17.38799283,15.42592593,15.22625448,17.58796296,17.62992832,18.83512545,21.85416667
37.342015,-120.614072,DC,C2599,Applegate Ranch,60.62378585,35.33294125,1431.341282,25.29084461,-1406.050438,50,3.787341246,0,0,0,0,0,0,0,0,0,0,0,0,0,0.268817204,0.17921147,0.3125,0.322580645,0.270833333,0.275537634,0.375,0.483870968,0,0
